date,open,high,low,close,adjClose
1969-12-31,100.0,100.0,100.0,100.0,100.0
1970-01-02,100.0,102.06,100.0,101.78,101.78
1970-01-05,100.0,102.06,100.0,101.78,101.78
1970-01-06,100.0,102.06,100.0,101.78,101.78
1970-01-07,100.0,102.06,100.0,101.78,101.78
1970-01-08,100.0,102.06,100.0,101.78,101.78
1970-01-09,100.0,102.06,100.0,101.78,101.78
1970-01-12,100.0,102.06,100.0,101.78,101.78
1970-01-13,100.0,102.06,100.0,101.78,101.78
1970-01-14,100.0,102.06,100.0,101.78,101.78
1970-01-15,100.0,102.06,100.0,101.78,101.78
1970-01-16,100.0,102.06,100.0,101.78,101.78
1970-01-19,100.0,102.06,100.0,101.78,101.78
1970-01-20,100.0,102.06,100.0,101.78,101.78
1970-01-21,100.0,102.06,100.0,101.78,101.78
1970-01-22,100.0,102.06,100.0,101.78,101.78
1970-01-23,100.0,102.06,100.0,101.78,101.78
1970-01-26,100.0,102.06,100.0,101.78,101.78
1970-01-27,100.0,102.06,100.0,101.78,101.78
1970-01-28,100.0,102.06,100.0,101.78,101.78
1970-01-29,100.0,102.06,100.0,101.78,101.78
1970-01-30,100.0,102.06,100.0,101.78,101.78
1970-02-02,101.67,104.97,101.38,104.86,104.86
1970-02-03,101.67,104.97,101.38,104.86,104.86
1970-02-04,101.67,104.97,101.38,104.86,104.86
1970-02-05,101.67,104.97,101.38,104.86,104.86
1970-02-06,101.67,104.97,101.38,104.86,104.86
1970-02-09,101.67,104.97,101.38,104.86,104.86
1970-02-10,101.67,104.97,101.38,104.86,104.86
1970-02-11,101.67,104.97,101.38,104.86,104.86
1970-02-12,101.67,104.97,101.38,104.86,104.86
1970-02-13,101.67,104.97,101.38,104.86,104.86
1970-02-16,101.67,104.97,101.38,104.86,104.86
1970-02-17,101.67,104.97,101.38,104.86,104.86
1970-02-18,101.67,104.97,101.38,104.86,104.86
1970-02-19,101.67,104.97,101.38,104.86,104.86
1970-02-20,101.67,104.97,101.38,104.86,104.86
1970-02-24,101.67,104.97,101.38,104.86,104.86
1970-02-25,101.67,104.97,101.38,104.86,104.86
1970-02-26,101.67,104.97,101.38,104.86,104.86
1970-02-27,101.67,104.97,101.38,104.86,104.86
1970-03-02,104.53,107.99,104.53,106.38,106.38
1970-03-03,104.53,107.99,104.53,106.38,106.38
1970-03-04,104.53,107.99,104.53,106.38,106.38
1970-03-05,104.53,107.99,104.53,106.38,106.38
1970-03-06,104.53,107.99,104.53,106.38,106.38
1970-03-09,104.53,107.99,104.53,106.38,106.38
1970-03-10,104.53,107.99,104.53,106.38,106.38
1970-03-11,104.53,107.99,104.53,106.38,106.38
1970-03-12,104.53,107.99,104.53,106.38,106.38
1970-03-13,104.53,107.99,104.53,106.38,106.38
1970-03-16,104.53,107.99,104.53,106.38,106.38
1970-03-17,104.53,107.99,104.53,106.38,106.38
1970-03-18,104.53,107.99,104.53,106.38,106.38
1970-03-19,104.53,107.99,104.53,106.38,106.38
1970-03-20,104.53,107.99,104.53,106.38,106.38
1970-03-23,104.53,107.99,104.53,106.38,106.38
1970-03-24,104.53,107.99,104.53,106.38,106.38
1970-03-25,104.53,107.99,104.53,106.38,106.38
1970-03-26,104.53,107.99,104.53,106.38,106.38
1970-03-30,104.53,107.99,104.53,106.38,106.38
1970-03-31,104.53,107.99,104.53,106.38,106.38
1970-04-01,105.95,107.18,104.83,106.05,106.05
1970-04-02,105.95,107.18,104.83,106.05,106.05
1970-04-03,105.95,107.18,104.83,106.05,106.05
1970-04-06,105.95,107.18,104.83,106.05,106.05
1970-04-07,105.95,107.18,104.83,106.05,106.05
