date,return,adjClose
1975-01-01,23.021,123.021
1975-02-01,12.965,138.971
1975-03-01,-2.908,134.929
1975-04-01,7.034,144.420
1975-05-01,-1.371,142.440
1975-06-01,-6.647,132.972
1975-07-01,-3.690,128.066
1975-08-01,2.082,130.732
1975-09-01,-4.407,124.971
1975-10-01,7.978,134.941
1975-11-01,2.212,137.926
1975-12-01,1.948,140.612
1976-01-01,4.110,146.392
1976-02-01,-2.215,143.149
1976-03-01,-2.731,139.240
1976-04-01,-1.052,137.775
1976-05-01,-4.611,131.422
1976-06-01,-0.150,131.225
1976-07-01,-1.663,129.043
1976-08-01,-2.001,126.461
1976-09-01,-2.913,122.777
1976-10-01,-7.183,113.958
1976-11-01,4.683,119.294
1976-12-01,8.674,129.642
1977-01-01,1.005,130.945
1977-02-01,1.021,132.282
1977-03-01,1.112,133.753
1977-04-01,3.516,138.455
1977-05-01,-0.422,137.871
1977-06-01,1.320,139.691
1977-07-01,-1.335,137.826
1977-08-01,4.717,144.327
1977-09-01,4.256,150.470
1977-10-01,2.709,154.546
1977-11-01,-1.574,152.114
1977-12-01,5.652,160.711
1978-01-01,0.032,160.763
1978-02-01,0.207,161.095
1978-03-01,3.042,165.996
1978-04-01,-0.978,164.372
1978-05-01,2.777,168.937
1978-06-01,0.818,170.319
1978-07-01,7.663,183.371
1978-08-01,3.836,190.405
1978-09-01,4.144,198.295
1978-10-01,4.673,207.561
1978-11-01,-8.780,189.337
1978-12-01,5.329,199.427
1979-01-01,0.277,199.980
1979-02-01,2.000,203.979
1979-03-01,6.034,216.287
1979-04-01,1.459,219.443
1979-05-01,-4.729,209.066
1979-06-01,2.796,214.911
1979-07-01,1.791,218.760
1979-08-01,3.161,225.675
1979-09-01,4.911,236.758
1979-10-01,-9.070,215.284
1979-11-01,4.081,224.070
1979-12-01,0.714,225.670
1980-01-01,5.310,237.653
1980-02-01,0.975,239.970
1980-03-01,-14.333,205.575
1980-04-01,10.297,226.743
1980-05-01,2.568,232.566
1980-06-01,7.200,249.310
1980-07-01,1.770,253.723
1980-08-01,0.852,255.885
1980-09-01,1.891,260.724
1980-10-01,3.355,269.471
1980-11-01,-1.598,265.165
1980-12-01,-4.077,254.354
1981-01-01,-3.980,244.231
1981-02-01,-0.792,242.297
1981-03-01,2.380,248.063
1981-04-01,-0.922,245.776
1981-05-01,-7.841,226.505
1981-06-01,-2.750,220.276
1981-07-01,-2.837,214.027
1981-08-01,2.747,219.906
1981-09-01,-9.322,199.406
1981-10-01,3.662,206.709
1981-11-01,11.558,230.600
1981-12-01,-3.238,223.133
1982-01-01,1.368,226.186
1982-02-01,-4.044,217.039
1982-03-01,-0.651,215.626
1982-04-01,3.015,222.127
1982-05-01,-0.108,221.887
1982-06-01,-8.066,203.990
1982-07-01,2.133,208.341
1982-08-01,0.613,209.618
1982-09-01,2.581,215.028
1982-10-01,1.042,217.269
1982-11-01,1.851,221.290
1982-12-01,5.083,232.538
1983-01-01,-0.130,232.236
1983-02-01,3.664,240.745
1983-03-01,4.718,252.104
1983-04-01,7.710,271.541
1983-05-01,-0.877,269.159
1983-06-01,1.604,273.477
1983-07-01,-1.200,270.195
1983-08-01,-1.946,264.937
1983-09-01,1.658,269.330
1983-10-01,-0.130,268.979
1983-11-01,2.771,276.433
1983-12-01,0.815,278.686
1984-01-01,4.106,290.129
1984-02-01,3.223,299.480
1984-03-01,2.192,306.044
1984-04-01,-1.444,301.625
1984-05-01,-7.291,279.633
1984-06-01,-0.406,278.498
1984-07-01,-6.457,260.515
1984-08-01,8.291,282.115
1984-09-01,-1.901,276.752
1984-10-01,0.026,276.824
1984-11-01,-0.272,276.071
1984-12-01,0.364,277.076
1985-01-01,4.313,289.026
1985-02-01,-4.210,276.858
1985-03-01,11.273,308.068
1985-04-01,2.861,316.882
1985-05-01,5.661,334.821
1985-06-01,1.249,339.003
1985-07-01,8.996,369.499
1985-08-01,5.067,388.222
1985-09-01,1.790,395.171
1985-10-01,10.950,438.442
1985-11-01,7.630,471.895
1985-12-01,4.019,490.861
1986-01-01,1.869,500.035
1986-02-01,11.714,558.609
1986-03-01,7.950,603.018
1986-04-01,9.485,660.215
1986-05-01,-8.584,603.542
1986-06-01,4.222,629.023
1986-07-01,-0.496,625.903
1986-08-01,10.724,693.025
1986-09-01,-6.344,649.060
1986-10-01,0.567,652.740
1986-11-01,5.235,686.911
1986-12-01,2.460,703.809
1987-01-01,4.533,735.713
1987-02-01,3.696,762.905
1987-03-01,5.127,802.019
1987-04-01,3.876,833.105
1987-05-01,-0.788,826.540
1987-06-01,3.066,851.882
1987-07-01,3.536,882.004
1987-08-01,0.892,889.872
1987-09-01,0.711,896.199
1987-10-01,-18.867,727.113
1987-11-01,-3.835,699.228
1987-12-01,5.842,740.077
1988-01-01,-3.993,710.526
1988-02-01,5.557,750.010
1988-03-01,3.059,772.953
1988-04-01,1.928,787.855
1988-05-01,-1.692,774.525
1988-06-01,-1.326,764.254
1988-07-01,0.147,765.378
1988-08-01,-4.521,730.775
1988-09-01,5.163,768.505
1988-10-01,9.020,837.824
1988-11-01,0.915,845.490
1988-12-01,0.538,850.039
1989-01-01,3.733,881.771
1989-02-01,-0.876,874.047
1989-03-01,0.691,880.086
1989-04-01,2.865,905.301
1989-05-01,-4.822,861.647
1989-06-01,3.628,892.908
1989-07-01,11.167,992.619
1989-08-01,-1.079,981.908
1989-09-01,2.210,1003.609
1989-10-01,-6.437,939.006
1989-11-01,5.439,990.079
1989-12-01,10.008,1089.166
1990-01-01,-0.078,1088.316
1990-02-01,-2.326,1063.002
1990-03-01,1.656,1080.605
