date,return,adjClose
1975-01-01,17.923,117.923
1975-02-01,12.961,133.207
1975-03-01,-0.446,132.613
1975-04-01,4.389,138.433
1975-05-01,-0.677,137.496
1975-06-01,-3.638,132.494
1975-07-01,-3.736,127.544
1975-08-01,-0.177,127.318
1975-09-01,-3.251,123.179
1975-10-01,7.520,132.442
1975-11-01,1.614,134.580
1975-12-01,1.716,136.889
1976-01-01,6.005,145.109
1976-02-01,0.325,145.581
1976-03-01,-1.913,142.796
1976-04-01,0.146,143.005
1976-05-01,-3.045,138.650
1976-06-01,1.809,141.158
1976-07-01,-1.116,139.583
1976-08-01,0.714,140.580
1976-09-01,-1.460,138.527
1976-10-01,-6.294,129.808
1976-11-01,-0.207,129.539
1976-12-01,9.693,142.096
1977-01-01,0.927,143.413
1977-02-01,1.946,146.204
1977-03-01,1.711,148.705
1977-04-01,2.012,151.697
1977-05-01,-0.359,151.153
1977-06-01,2.361,154.721
1977-07-01,-1.387,152.575
1977-08-01,4.404,159.295
1977-09-01,2.874,163.873
1977-10-01,2.562,168.071
1977-11-01,-1.024,166.350
1977-12-01,4.830,174.385
1978-01-01,1.709,177.365
1978-02-01,0.794,178.774
1978-03-01,6.291,190.020
1978-04-01,0.437,190.851
1978-05-01,2.551,195.719
1978-06-01,5.170,205.838
1978-07-01,8.395,223.118
1978-08-01,3.432,230.775
1978-09-01,2.656,236.905
1978-10-01,5.072,248.921
1978-11-01,-8.946,226.652
1978-12-01,4.437,236.709
1979-01-01,0.648,238.243
1979-02-01,-0.741,236.477
1979-03-01,2.359,242.056
1979-04-01,-0.925,239.817
1979-05-01,-1.354,236.570
1979-06-01,1.622,240.407
1979-07-01,1.758,244.633
1979-08-01,3.397,252.943
1979-09-01,2.654,259.656
1979-10-01,-9.199,235.771
1979-11-01,1.259,238.739
1979-12-01,4.202,248.771
1980-01-01,5.675,262.888
1980-02-01,0.571,264.390
1980-03-01,-11.174,234.847
1980-04-01,8.870,255.678
1980-05-01,3.926,265.715
1980-06-01,6.988,284.284
1980-07-01,1.362,288.156
1980-08-01,2.837,296.331
1980-09-01,2.591,304.009
1980-10-01,1.934,309.888
1980-11-01,-1.031,306.693
1980-12-01,0.728,308.926
1981-01-01,-0.424,307.616
1981-02-01,-0.034,307.511
1981-03-01,3.799,319.194
1981-04-01,0.485,320.742
1981-05-01,-5.687,302.501
1981-06-01,1.014,305.569
1981-07-01,-6.071,287.018
1981-08-01,2.441,294.024
1981-09-01,-7.191,272.880
1981-10-01,0.847,275.192
1981-11-01,12.095,308.476
1981-12-01,-2.154,301.832
1982-01-01,-1.051,298.659
1982-02-01,-5.610,281.905
1982-03-01,-4.018,270.578
1982-04-01,4.467,282.664
1982-05-01,-2.167,276.539
1982-06-01,-7.646,255.395
1982-07-01,-0.163,254.979
1982-08-01,-0.140,254.622
1982-09-01,-0.788,252.615
1982-10-01,0.966,255.055
1982-11-01,7.900,275.205
1982-12-01,7.096,294.733
1983-01-01,1.816,300.086
1983-02-01,3.673,311.108
1983-03-01,3.348,321.524
1983-04-01,5.262,338.442
1983-05-01,0.217,339.177
1983-06-01,1.711,344.980
1983-07-01,0.179,345.598
1983-08-01,-0.654,343.337
1983-09-01,2.755,352.796
1983-10-01,-0.760,350.115
1983-11-01,2.994,360.597
1983-12-01,4.094,375.360
1984-01-01,3.610,388.911
1984-02-01,0.725,391.730
1984-03-01,6.408,416.832
1984-04-01,-1.246,411.639
1984-05-01,-8.860,375.168
1984-06-01,-0.233,374.293
1984-07-01,-5.245,354.662
1984-08-01,8.489,384.769
1984-09-01,-1.260,379.921
1984-10-01,1.564,385.863
1984-11-01,-0.138,385.330
1984-12-01,0.727,388.132
1985-01-01,2.796,398.984
1985-02-01,-2.149,390.410
1985-03-01,7.506,419.714
1985-04-01,-0.187,418.929
1985-05-01,4.066,435.963
1985-06-01,1.175,441.085
1985-07-01,6.217,468.507
1985-08-01,4.293,488.620
1985-09-01,6.271,519.262
1985-10-01,5.805,549.405
1985-11-01,5.004,576.897
1985-12-01,1.956,588.181
1986-01-01,3.777,610.397
1986-02-01,11.393,679.939
1986-03-01,11.396,757.425
1986-04-01,7.746,816.096
1986-05-01,-2.768,793.506
1986-06-01,6.592,845.814
1986-07-01,2.125,863.788
1986-08-01,6.703,921.687
1986-09-01,-4.607,879.225
1986-10-01,-3.566,847.872
1986-11-01,6.737,904.993
1986-12-01,2.484,927.473
1987-01-01,6.800,990.541
1987-02-01,3.382,1024.041
1987-03-01,6.690,1092.550
1987-04-01,6.404,1162.517
1987-05-01,3.151,1199.147
1987-06-01,0.741,1208.033
1987-07-01,1.759,1229.282
1987-08-01,6.973,1315.000
1987-09-01,-0.711,1305.651
1987-10-01,-15.467,1103.706
1987-11-01,1.498,1120.239
1987-12-01,5.924,1186.602
1988-01-01,0.982,1198.255
1988-02-01,6.511,1276.273
1988-03-01,6.463,1358.758
1988-04-01,3.248,1402.891
1988-05-01,-0.910,1390.125
1988-06-01,-1.638,1367.354
1988-07-01,0.109,1368.845
1988-08-01,-5.124,1298.705
1988-09-01,3.212,1340.420
1988-10-01,7.872,1445.937
1988-11-01,5.039,1518.798
1988-12-01,0.568,1527.425
1989-01-01,3.392,1579.235
1989-02-01,1.734,1606.619
1989-03-01,0.234,1610.379
1989-04-01,2.584,1651.991
1989-05-01,-4.885,1571.291
1989-06-01,-0.668,1560.795
1989-07-01,11.175,1735.214
1989-08-01,-3.033,1682.585
1989-09-01,7.133,1802.603
1989-10-01,-3.551,1738.593
1989-11-01,3.787,1804.434
1989-12-01,4.312,1882.241
1990-01-01,-2.314,1838.686
1990-02-01,-5.857,1730.994
1990-03-01,-9.298,1570.046
1990-04-01,-0.803,1557.439
1990-05-01,10.662,1723.493
1990-06-01,0.761,1736.608
1990-07-01,2.955,1787.925
1990-08-01,-12.409,1566.062
1990-09-01,-14.737,1335.271
1990-10-01,17.017,1562.494
1990-11-01,-8.518,1429.401
1990-12-01,0.453,1435.876
1991-01-01,0.694,1445.841
1991-02-01,14.482,1655.228
1991-03-01,-5.244,1568.428
1991-04-01,0.216,1571.815
1991-05-01,-0.218,1568.389
1991-06-01,-7.179,1455.794
1991-07-01,3.586,1507.999
1991-08-01,-3.136,1460.708
1991-09-01,7.071,1563.995
1991-10-01,0.642,1574.036
1991-11-01,-5.689,1484.489
1991-12-01,4.444,1550.459
1992-01-01,-0.785,1538.288
1992-02-01,-2.353,1502.092
1992-03-01,-6.633,1402.459
1992-04-01,0.425,1408.419
1992-05-01,6.939,1506.149
1992-06-01,-4.769,1434.321
1992-07-01,-4.555,1368.988
1992-08-01,5.065,1438.327
1992-09-01,-2.594,1401.017
1992-10-01,-6.156,1314.770
1992-11-01,0.132,1316.506
1992-12-01,0.442,1322.325
1993-01-01,1.282,1339.277
1993-02-01,3.593,1387.397
1993-03-01,9.630,1521.003
1993-04-01,9.565,1666.487
1993-05-01,3.063,1717.532
1993-06-01,-2.800,1669.441
1993-07-01,2.952,1718.723
1993-08-01,5.029,1805.157
1993-09-01,-2.182,1765.769
1993-10-01,1.066,1784.592
1993-11-01,-7.434,1651.925
1993-12-01,6.807,1764.372
1994-01-01,9.807,1937.404
1994-02-01,0.591,1948.854
1994-03-01,-2.630,1897.599
1994-04-01,3.451,1963.085
1994-05-01,-1.159,1940.333
1994-06-01,1.293,1965.422
1994-07-01,1.415,1993.232
1994-08-01,1.937,2031.841
1994-09-01,-2.706,1976.860
1994-10-01,2.170,2019.757
1994-11-01,-5.394,1910.812
1994-12-01,0.639,1923.022
1995-01-01,-3.838,1849.216
1995-02-01,-0.703,1836.216
1995-03-01,4.686,1922.261
1995-04-01,3.356,1986.772
1995-05-01,-1.442,1958.123
1995-06-01,-1.635,1926.108
1995-07-01,6.303,2047.510
1995-08-01,-2.674,1992.760
1995-09-01,1.008,2012.847
1995-10-01,-2.801,1956.467
1995-11-01,1.649,1988.729
1995-12-01,3.357,2055.491
1996-01-01,1.600,2088.379
1996-02-01,1.710,2124.090
1996-03-01,2.174,2170.268
1996-04-01,3.823,2253.237
1996-05-01,-1.080,2228.902
1996-06-01,0.218,2233.761
1996-07-01,-3.220,2161.834
1996-08-01,0.369,2169.811
1996-09-01,1.472,2201.751
1996-10-01,-0.894,2182.067
1996-11-01,2.478,2236.139
1996-12-01,-1.390,2205.057
1997-01-01,-2.977,2139.412
1997-02-01,1.649,2174.691
1997-03-01,-0.907,2154.967
1997-04-01,-0.786,2138.028
1997-05-01,6.869,2284.890
1997-06-01,3.251,2359.171
