date,return,adjClose
1975-01-01,6.034,106.034
1975-02-01,16.475,123.503
1975-03-01,3.164,127.411
1975-04-01,1.381,129.170
1975-05-01,-0.422,128.625
1975-06-01,2.722,132.126
1975-07-01,-5.190,125.269
1975-08-01,-4.195,120.014
1975-09-01,-4.558,114.544
1975-10-01,12.485,128.845
1975-11-01,-1.528,126.876
1975-12-01,2.400,129.921
1976-01-01,5.393,136.927
1976-02-01,1.014,138.316
1976-03-01,1.163,139.924
1976-04-01,1.872,142.544
1976-05-01,0.571,143.358
1976-06-01,5.952,151.890
1976-07-01,-2.725,147.751
1976-08-01,5.192,155.423
1976-09-01,2.811,159.792
1976-10-01,-5.486,151.025
1976-11-01,0.723,152.117
1976-12-01,10.613,168.262
1977-01-01,-0.255,167.833
1977-02-01,4.524,175.425
1977-03-01,1.257,177.630
1977-04-01,0.977,179.366
1977-05-01,-1.625,176.451
1977-06-01,4.254,183.957
1977-07-01,-2.923,178.580
1977-08-01,5.789,188.918
1977-09-01,2.546,193.728
1977-10-01,1.399,196.438
1977-11-01,0.076,196.588
1977-12-01,1.035,198.622
1978-01-01,5.747,210.037
1978-02-01,3.132,216.616
1978-03-01,12.732,244.195
1978-04-01,-0.180,243.755
1978-05-01,0.620,245.267
1978-06-01,11.309,273.004
1978-07-01,9.539,299.046
1978-08-01,0.991,302.009
1978-09-01,2.413,309.297
1978-10-01,8.548,335.736
1978-11-01,-9.473,303.931
1978-12-01,3.702,315.183
1979-01-01,-0.395,313.938
1979-02-01,-3.780,302.071
1979-03-01,-2.921,293.248
1979-04-01,-5.268,277.799
1979-05-01,0.638,279.572
1979-06-01,0.299,280.408
1979-07-01,1.855,285.609
1979-08-01,0.139,286.006
1979-09-01,-0.423,284.796
1979-10-01,-9.193,258.615
1979-11-01,-3.450,249.693
1979-12-01,6.311,265.451
1980-01-01,1.815,270.269
1980-02-01,-3.166,261.712
1980-03-01,-3.469,252.633
1980-04-01,7.392,271.308
1980-05-01,5.208,285.438
1980-06-01,6.206,303.152
1980-07-01,-5.248,287.243
1980-08-01,5.672,303.535
1980-09-01,6.102,322.057
1980-10-01,1.023,325.351
1980-11-01,-1.788,319.534
1980-12-01,7.831,344.557
1981-01-01,2.368,352.716
1981-02-01,-1.436,347.651
1981-03-01,1.997,354.593
1981-04-01,0.367,355.895
1981-05-01,-6.832,331.580
1981-06-01,4.564,346.713
1981-07-01,-6.370,324.628
1981-08-01,4.116,337.989
1981-09-01,-3.547,326.001
1981-10-01,0.017,326.056
1981-11-01,13.035,368.558
1981-12-01,-2.320,360.007
1982-01-01,-2.324,351.641
1982-02-01,-6.267,329.603
1982-03-01,-7.811,303.858
1982-04-01,7.695,327.240
1982-05-01,-5.000,310.878
1982-06-01,-4.954,295.477
1982-07-01,-2.144,289.142
1982-08-01,-2.617,281.575
1982-09-01,-3.909,270.568
1982-10-01,-1.197,267.330
1982-11-01,18.484,316.743
1982-12-01,9.162,345.763
1983-01-01,0.211,346.492
1983-02-01,1.742,352.528
1983-03-01,4.733,369.213
1983-04-01,3.086,380.607
1983-05-01,0.903,384.044
1983-06-01,2.006,391.748
1983-07-01,1.320,396.919
1983-08-01,0.058,397.149
1983-09-01,4.963,416.860
1983-10-01,-0.350,415.401
1983-11-01,0.780,418.641
1983-12-01,6.301,445.020
1984-01-01,3.418,460.230
1984-02-01,-0.598,457.478
1984-03-01,14.945,525.848
1984-04-01,-0.814,521.568
1984-05-01,-10.046,469.171
1984-06-01,1.016,473.938
1984-07-01,-6.587,442.720
1984-08-01,8.568,480.652
1984-09-01,-0.452,478.479
1984-10-01,2.969,492.686
1984-11-01,-0.461,490.414
1984-12-01,0.999,495.313
1985-01-01,0.825,499.400
1985-02-01,0.892,503.854
1985-03-01,5.817,533.164
1985-04-01,-2.182,521.530
1985-05-01,3.417,539.351
1985-06-01,2.571,553.217
1985-07-01,1.614,562.146
1985-08-01,5.561,593.407
1985-09-01,13.153,671.458
1985-10-01,1.786,683.450
1985-11-01,3.565,707.815
1985-12-01,2.731,727.146
1986-01-01,4.869,762.551
1986-02-01,13.766,867.523
1986-03-01,16.890,1014.048
1986-04-01,5.964,1074.526
1986-05-01,1.712,1092.922
1986-06-01,10.362,1206.170
1986-07-01,6.000,1278.540
1986-08-01,4.933,1341.611
1986-09-01,-4.722,1278.260
1986-10-01,-9.167,1161.082
1986-11-01,8.645,1261.457
1986-12-01,2.765,1296.337
1987-01-01,6.865,1385.330
1987-02-01,2.204,1415.863
1987-03-01,7.979,1528.835
1987-04-01,9.184,1669.243
1987-05-01,6.666,1780.515
1987-06-01,-1.036,1762.068
1987-07-01,-1.242,1740.184
1987-08-01,11.685,1943.524
1987-09-01,-2.425,1896.394
1987-10-01,-9.106,1723.708
1987-11-01,4.387,1799.327
1987-12-01,4.925,1887.944
1988-01-01,3.670,1957.231
1988-02-01,7.334,2100.775
1988-03-01,7.150,2250.980
1988-04-01,3.261,2324.385
1988-05-01,-0.925,2302.884
1988-06-01,-3.224,2228.639
1988-07-01,-0.064,2227.213
1988-08-01,-5.324,2108.636
1988-09-01,2.949,2170.820
1988-10-01,7.290,2329.072
1988-11-01,8.174,2519.451
1988-12-01,0.845,2540.740
1989-01-01,1.870,2588.252
1989-02-01,3.384,2675.838
1989-03-01,0.005,2675.972
1989-04-01,2.255,2736.315
1989-05-01,-5.449,2587.214
1989-06-01,-2.491,2522.766
1989-07-01,11.855,2821.840
1989-08-01,-4.587,2692.402
1989-09-01,9.839,2957.308
1989-10-01,-1.925,2900.379
1989-11-01,3.648,3006.185
1989-12-01,2.229,3073.193
1990-01-01,-3.718,2958.932
1990-02-01,-8.426,2709.612
1990-03-01,-18.244,2215.271
1990-04-01,0.343,2222.869
1990-05-01,14.681,2549.208
1990-06-01,-1.412,2513.214
1990-07-01,2.395,2573.405
1990-08-01,-13.844,2217.143
1990-09-01,-18.085,1816.173
1990-10-01,30.514,2370.359
1990-11-01,-16.338,1983.090
1990-12-01,1.495,2012.737
1991-01-01,-0.648,1999.695
1991-02-01,18.626,2372.158
1991-03-01,-5.627,2238.677
1991-04-01,1.611,2274.742
1991-05-01,-1.058,2250.675
1991-06-01,-7.834,2074.357
1991-07-01,1.839,2112.504
1991-08-01,-7.961,1944.328
1991-09-01,13.203,2201.038
1991-10-01,3.839,2285.535
1991-11-01,-8.646,2087.928
1991-12-01,4.532,2182.553
1992-01-01,-3.422,2107.866
1992-02-01,-6.092,1979.455
1992-03-01,-11.538,1751.065
1992-04-01,-7.049,1627.633
1992-05-01,10.409,1797.053
1992-06-01,-9.299,1629.945
1992-07-01,-3.460,1573.549
1992-08-01,16.807,1838.015
1992-09-01,-2.245,1796.752
1992-10-01,-6.303,1683.503
1992-11-01,2.406,1724.008
1992-12-01,-2.307,1684.235
1993-01-01,-0.215,1680.614
1993-02-01,4.206,1751.300
1993-03-01,15.347,2020.072
1993-04-01,17.601,2375.625
1993-05-01,4.666,2486.472
1993-06-01,-3.614,2396.611
1993-07-01,4.897,2513.973
1993-08-01,1.686,2556.358
1993-09-01,-4.533,2440.479
1993-10-01,-4.559,2329.217
1993-11-01,-15.911,1958.616
1993-12-01,1.901,1995.849
1994-01-01,16.744,2330.034
1994-02-01,5.061,2447.957
1994-03-01,-1.620,2408.300
1994-04-01,3.656,2496.347
1994-05-01,1.159,2525.280
1994-06-01,5.961,2675.812
1994-07-01,-2.653,2604.823
1994-08-01,0.175,2609.381
1994-09-01,-2.972,2531.830
1994-10-01,2.317,2590.493
1994-11-01,-5.785,2440.633
1994-12-01,1.252,2471.189
1995-01-01,-4.987,2347.951
1995-02-01,-6.132,2203.975
1995-03-01,7.813,2376.171
1995-04-01,3.847,2467.583
1995-05-01,-7.715,2277.209
1995-06-01,-4.664,2171.000
1995-07-01,7.716,2338.514
1995-08-01,-1.573,2301.729
1995-09-01,-0.826,2282.717
1995-10-01,-4.590,2177.940
1995-11-01,4.821,2282.939
1995-12-01,5.654,2412.016
1996-01-01,-0.038,2411.100
1996-02-01,-0.565,2397.477
1996-03-01,3.298,2476.546
1996-04-01,7.219,2655.327
1996-05-01,-4.584,2533.607
1996-06-01,0.247,2539.865
1996-07-01,-4.194,2433.343
1996-08-01,-4.973,2312.333
1996-09-01,2.270,2364.823
1996-10-01,-6.452,2212.245
1996-11-01,-0.457,2202.135
1996-12-01,-7.648,2033.715
1997-01-01,-9.193,1846.756
1997-02-01,1.187,1868.677
1997-03-01,-4.527,1784.082
1997-04-01,2.133,1822.136
1997-05-01,14.300,2082.702
1997-06-01,4.729,2181.193
