date,return,adjClose
1975-01-01,18.085,118.085
1975-02-01,4.034,122.849
1975-03-01,4.750,128.684
1975-04-01,4.685,134.713
1975-05-01,4.736,141.093
1975-06-01,6.458,150.204
1975-07-01,-5.731,141.596
1975-08-01,-2.816,137.609
1975-09-01,-4.224,131.796
1975-10-01,5.228,138.687
1975-11-01,3.615,143.700
1975-12-01,-0.415,143.104
1976-01-01,13.999,163.137
1976-02-01,1.928,166.282
1976-03-01,0.970,167.895
1976-04-01,-0.954,166.293
1976-05-01,-1.113,164.443
1976-06-01,5.171,172.946
1976-07-01,-0.209,172.584
1976-08-01,-0.783,171.233
1976-09-01,1.928,174.534
1976-10-01,-2.430,170.293
1976-11-01,0.668,171.431
1976-12-01,7.608,184.473
1977-01-01,-3.716,177.618
1977-02-01,-2.195,173.719
1977-03-01,-0.146,173.466
1977-04-01,1.403,175.900
1977-05-01,-0.675,174.712
1977-06-01,4.504,182.581
1977-07-01,-1.744,179.397
1977-08-01,-2.306,175.260
1977-09-01,-0.003,175.255
1977-10-01,-4.059,168.141
1977-11-01,5.118,176.747
1977-12-01,0.719,178.018
1978-01-01,-5.043,169.040
1978-02-01,-1.657,166.239
1978-03-01,4.960,174.485
1978-04-01,8.204,188.799
1978-05-01,3.142,194.731
1978-06-01,-0.974,192.835
1978-07-01,6.363,205.105
1978-08-01,4.058,213.428
1978-09-01,-0.689,211.957
1978-10-01,-11.953,186.622
1978-11-01,2.147,190.629
1978-12-01,0.743,192.045
1979-01-01,6.014,203.595
1979-02-01,-3.053,197.379
1979-03-01,7.880,212.933
1979-04-01,0.508,214.014
1979-05-01,-0.884,212.123
1979-06-01,5.874,224.583
1979-07-01,2.352,229.865
1979-08-01,6.374,244.516
1979-09-01,0.353,245.379
1979-10-01,-9.046,223.182
1979-11-01,6.041,236.665
1979-12-01,4.580,247.504
1980-01-01,5.615,261.402
1980-02-01,-2.647,254.482
1980-03-01,-11.622,224.906
1980-04-01,5.053,236.271
1980-05-01,7.815,254.735
1980-06-01,3.839,264.515
1980-07-01,8.097,285.932
1980-08-01,1.608,290.530
1980-09-01,2.484,297.747
1980-10-01,0.496,299.224
1980-11-01,6.262,317.961
1980-12-01,-1.585,312.922
1981-01-01,-1.150,309.323
1981-02-01,1.937,315.315
1981-03-01,8.623,342.504
1981-04-01,0.098,342.840
1981-05-01,1.647,348.486
1981-06-01,-1.113,344.608
1981-07-01,-2.750,335.131
1981-08-01,-4.946,318.555
1981-09-01,-5.656,300.538
1981-10-01,5.005,315.580
1981-11-01,5.012,331.397
1981-12-01,-1.912,325.060
1982-01-01,-2.505,316.918
1982-02-01,-3.707,305.169
1982-03-01,-1.289,301.236
1982-04-01,4.811,315.728
1982-05-01,-4.556,301.344
1982-06-01,-2.117,294.964
1982-07-01,-2.244,288.345
1982-08-01,13.661,327.736
1982-09-01,1.937,334.084
1982-10-01,13.820,380.255
1982-11-01,5.300,400.408
1982-12-01,1.669,407.091
1983-01-01,3.419,421.010
1983-02-01,3.022,433.732
1983-03-01,3.740,449.954
1983-04-01,7.149,482.121
1983-05-01,2.459,493.977
1983-06-01,3.262,510.090
1983-07-01,-2.528,497.195
1983-08-01,0.641,500.382
1983-09-01,2.491,512.847
1983-10-01,-1.935,502.923
